date,SPY,QQQ,DIA,IWM,EFA,EEM,TLT,GLD,XLF,XLE
2022-09-02,-8.32294449074798,-7.917457569930624,-8.439982425450513,-8.482324826794738,-8.350555203447842,-9.478621729337993,-10.132534082974662,-11.012678300484652,-7.8661691166595045,-8.753860836077171
2022-09-06,-9.29380944831522,-8.74090085276233,-9.54868156333874,-8.945557974295523,-9.67705194611752,-10.413098836248606,-10.204247112628781,-11.112587007853882,-8.62211677844789,-8.479295463199627
2022-09-07,-9.294573440715297,-8.972474916251267,-9.618707597591573,-9.16571397068555,-10.154863823328299,-10.141192428555712,-10.046170265737022,-10.240546816868191,-8.883277857494164,-8.315470686248133
2022-09-08,-9.396586203503446,-8.66375284238949,-9.673682380798498,-8.757840488960955,-9.748005230197114,-10.341151246435395,-9.541205705045577,-10.760644959399064,-8.634571115445814,-8.830429113362314
2022-09-09,-10.063663436970948,-8.539102263772389,-10.146419412842569,-10.009879966952026,-11.126930503017302,-10.751112259622735,-9.75610672838796,-11.22524671225673,-10.752141611990991,-8.709804963606555
2022-09-12,-10.78235973488102,-10.652453640822085,-10.682301294327567,-10.186321307739183,-10.689601515148052,-10.317804640522805,-9.043155801865746,-10.84248549140332,-9.74228849445082,-8.253655062802764
2022-09-13,-8.47227362307543,-8.097175481084554,-8.558363153123416,-8.49029385194091,-8.76199902447237,-9.186664195328188,-9.787470931575776,-11.095100634110281,-8.577618205009086,-7.702686348874729
2022-09-14,-9.393975908808711,-9.432878537369982,-9.432966178575402,-9.092834880545672,-9.879656620694051,-10.594015675171786,-10.248786663546461,-10.70268218177982,-8.700548032503878,-8.548492590471177
2022-09-15,-8.8243084474267,-8.288646239460979,-9.490290007938789,-8.428344182628766,-9.571167199712525,-9.647752307776043,-11.074206449907365,-9.0434583934438,-8.782200047885564,-8.992365504799553
2022-09-16,-9.84890026637292,-9.319154599873857,-10.192282776127055,-9.023290276952707,-10.117949111227917,-10.364440606433364,-9.545619808000284,-9.437714211897973,-9.443792206267684,-7.726598534574009
2022-09-19,-10.295199456862361,-9.970243898605888,-10.301600571711536,-9.49008479488844,-10.173548645345289,-10.38842875797143,-10.10649820401997,-11.32580726599993,-9.548902222692291,-8.605060787609332
2022-09-20,-9.434251333756883,-8.935214105966576,-9.718799192543461,-9.531708547479884,-9.732116915772943,-10.302879374019593,-9.417594040083166,-11.674424162521275,-8.826210928931188,-8.76965880142353
2022-09-21,-8.17092038276709,-7.612280447457186,-8.499162537703057,-8.032473878433263,-8.638983439725001,-8.95794973310123,-8.964698332669883,-8.439270620571527,-8.46571199789114,-8.57669264502733
2022-09-22,-9.59119523599906,-9.268523874375878,-9.952806288372114,-8.409416705711054,-9.51539259817357,-10.259262768083198,-9.741611447993503,-10.672048746288594,-9.080401223077807,-8.82086102466942
2022-09-23,-8.622986790969273,-8.498273539213283,-8.71914062837104,-8.197266374008157,-8.917251498834565,-9.628629569750894,-8.793045193853816,-10.544115346684091,-8.299309004964627,-7.668038817895101
2022-09-26,-8.627966614411672,-8.387369074253183,-9.074658659596842,-7.59797805471651,-8.660867658050345,-9.440921373889388,-9.023144396945892,-9.616692227020572,-8.158347918559643,-7.847004763120166
2022-09-27,-8.189612057377428,-7.891160438957678,-8.362950395356098,-8.077480886871204,-8.486561359195049,-8.715968101021579,-9.285309962755814,-10.627019180689805,-8.045188639556304,-8.201433524808756
2022-09-28,-8.333795791407237,-8.117648906917688,-8.541620216323773,-7.872249407677088,-8.4244858128768,-9.11209793324246,-8.951230218096322,-10.029495684314139,-8.487955793149233,-7.465643781639201
2022-09-29,-8.734170421846548,-8.15378260294642,-9.054460215675656,-8.208603985434221,-9.207306315512993,-9.3705685109974,-9.624181468073473,-9.577732006205617,-8.699635110750545,-7.962264388416958
